cve,ubicageo_c,orgapoli_e,sexostt,sexos1,sexos2,,,,orgapoli_e,(Varios elementos),,,
11,11013,1,50,34,16,,,,,,,,
11,11013,2,0,0,0,,,,,,,,
11,11013,3,0,0,0,,,,,,,,
11,11013,4,0,0,0,,,,,,,,
11,11013,5,0,0,0,,,,,,,,
11,11013,6,NA,NA,NA,,,,,,,,
11,11013,7,2,2,0,,,,,,,,
11,11013,8,6,2,4,,,,,,,,
11,11013,9,0,0,0,,,,,,,,
11,11014,1,188,140,48,,,,,,,,
11,11014,2,41,31,10,,,,,,,,
11,11014,3,0,0,0,,,,,,,,
11,11014,4,0,0,0,,,,,,,,
11,11014,5,0,0,0,,,,,,,,
11,11014,6,NA,NA,NA,,,,,,,,
11,11014,7,3,3,0,,,,,,,,
11,11014,8,4,3,1,,,,,,,,
11,11014,9,0,0,0,,,,,,,,
11,11015,1,356,230,126,,,,,,,,
11,11015,2,72,57,15,,,,,,,,
11,11015,3,0,0,0,,,,,,,,
11,11015,4,0,0,0,,,,,,,,
11,11015,5,0,0,0,,,,,,,,
11,11015,6,NA,NA,NA,,,,,,,,
11,11015,7,0,0,0,,,,,,,,
11,11015,8,53,20,33,,,,,,,,
11,11015,9,0,0,0,,,,,,,,
11,11016,1,26,22,4,,,,,,,,
11,11016,2,4,4,0,,,,,,,,
11,11016,3,0,0,0,,,,,,,,
11,11016,4,0,0,0,,,,,,,,
11,11016,5,0,0,0,,,,,,,,
11,11016,6,NA,NA,NA,,,,,,,,
11,11016,7,1,1,0,,,,,,,,
11,11016,8,2,1,1,,,,,,,,
11,11016,9,0,0,0,,,,,,,,
11,11017,1,841,641,200,,,,,,,,
11,11017,2,104,77,27,,,,,,,,
11,11017,3,0,0,0,,,,,,,,
11,11017,4,0,0,0,,,,,,,,
11,11017,5,0,0,0,,,,,,,,
11,11017,6,NA,NA,NA,,,,,,,,
11,11017,7,3,3,0,,,,,,,,
11,11017,8,12,10,2,,,,,,,,
11,11017,9,320,170,150,,,,,,,,
11,11018,1,56,44,12,,,,,,,,
11,11018,2,8,5,3,,,,,,,,
11,11018,3,0,0,0,,,,,,,,
11,11018,4,0,0,0,,,,,,,,
11,11018,5,0,0,0,,,,,,,,
11,11018,6,NA,NA,NA,,,,,,,,
11,11018,7,16,15,1,,,,,,,,
11,11018,8,8,3,5,,,,,,,,
11,11018,9,0,0,0,,,,,,,,
11,11019,1,0,0,0,,,,,,,,
11,11019,2,19,15,4,,,,,,,,
11,11019,3,0,0,0,,,,,,,,
11,11019,4,0,0,0,,,,,,,,
11,11019,5,0,0,0,,,,,,,,
11,11019,6,NA,NA,NA,,,,,,,,
11,11019,7,0,0,0,,,,,,,,
11,11019,8,0,0,0,,,,,,,,
11,11019,9,0,0,0,,,,,,,,
11,11020,1,1963,1485,478,,,,,,,,
11,11020,2,783,628,155,,,,,,,,
11,11020,3,0,0,0,,,,,,,,
11,11020,4,0,0,0,,,,,,,,
11,11020,5,0,0,0,,,,,,,,
11,11020,6,NA,NA,NA,,,,,,,,
11,11020,7,142,86,56,,,,,,,,
11,11020,8,838,448,390,,,,,,,,
11,11020,9,121,69,52,,,,,,,,
11,11021,1,140,118,22,,,,,,,,
11,11021,2,51,46,5,,,,,,,,
11,11021,3,0,0,0,,,,,,,,
11,11021,4,0,0,0,,,,,,,,
11,11021,5,0,0,0,,,,,,,,
11,11021,6,NA,NA,NA,,,,,,,,
11,11021,7,2,1,1,,,,,,,,
11,11021,8,1,1,0,,,,,,,,
11,11021,9,0,0,0,,,,,,,,
11,11022,1,60,49,11,,,,,,,,
11,11022,2,0,0,0,,,,,,,,
11,11022,3,0,0,0,,,,,,,,
11,11022,4,0,0,0,,,,,,,,
11,11022,5,0,0,0,,,,,,,,
11,11022,6,NA,NA,NA,,,,,,,,
11,11022,7,3,3,0,,,,,,,,
11,11022,8,1,0,1,,,,,,,,
11,11022,9,0,0,0,,,,,,,,
11,11023,1,282,229,53,,,,,,,,
11,11023,2,0,0,0,,,,,,,,
11,11023,3,0,0,0,,,,,,,,
11,11023,4,0,0,0,,,,,,,,
11,11023,5,0,0,0,,,,,,,,
11,11023,6,NA,NA,NA,,,,,,,,
11,11023,7,2,2,0,,,,,,,,
11,11023,8,0,0,0,,,,,,,,
11,11023,9,0,0,0,,,,,,,,
11,11024,1,13,11,2,,,,,,,,
11,11024,2,8,7,1,,,,,,,,
11,11024,3,0,0,0,,,,,,,,
11,11024,4,0,0,0,,,,,,,,
11,11024,5,0,0,0,,,,,,,,
11,11024,6,NA,NA,NA,,,,,,,,
11,11024,7,3,3,0,,,,,,,,
11,11024,8,0,0,0,,,,,,,,
11,11024,9,0,0,0,,,,,,,,
11,11025,1,74,59,15,,,,,,,,
11,11025,2,24,20,4,,,,,,,,
11,11025,3,0,0,0,,,,,,,,
11,11025,4,0,0,0,,,,,,,,
11,11025,5,0,0,0,,,,,,,,
11,11025,6,NA,NA,NA,,,,,,,,
11,11025,7,3,3,0,,,,,,,,
11,11025,8,7,4,3,,,,,,,,
11,11025,9,0,0,0,,,,,,,,
11,11026,1,64,52,12,,,,,,,,
11,11026,2,19,18,1,,,,,,,,
11,11026,3,0,0,0,,,,,,,,
11,11026,4,0,0,0,,,,,,,,
11,11026,5,0,0,0,,,,,,,,
11,11026,6,NA,NA,NA,,,,,,,,
11,11026,7,21,21,0,,,,,,,,
11,11026,8,15,11,4,,,,,,,,
11,11026,9,0,0,0,,,,,,,,
11,11027,1,76,57,19,,,,,,,,
11,11027,2,94,81,13,,,,,,,,
11,11027,3,0,0,0,,,,,,,,
11,11027,4,0,0,0,,,,,,,,
11,11027,5,0,0,0,,,,,,,,
11,11027,6,NA,NA,NA,,,,,,,,
11,11027,7,1,1,0,,,,,,,,
11,11027,8,0,0,0,,,,,,,,
11,11027,9,0,0,0,,,,,,,,
11,11028,1,162,119,43,,,,,,,,
11,11028,2,0,0,0,,,,,,,,
11,11028,3,0,0,0,,,,,,,,
11,11028,4,0,0,0,,,,,,,,
11,11028,5,0,0,0,,,,,,,,
11,11028,6,NA,NA,NA,,,,,,,,
11,11028,7,8,8,0,,,,,,,,
11,11028,8,0,0,0,,,,,,,,
11,11028,9,0,0,0,,,,,,,,
11,11029,1,41,34,7,,,,,,,,
11,11029,2,15,13,2,,,,,,,,
11,11029,3,0,0,0,,,,,,,,
11,11029,4,0,0,0,,,,,,,,
11,11029,5,0,0,0,,,,,,,,
11,11029,6,NA,NA,NA,,,,,,,,
11,11029,7,5,5,0,,,,,,,,
11,11029,8,6,3,3,,,,,,,,
11,11029,9,0,0,0,,,,,,,,
11,11030,1,129,105,24,,,,,,,,
11,11030,2,21,19,2,,,,,,,,
11,11030,3,0,0,0,,,,,,,,
11,11030,4,0,0,0,,,,,,,,
11,11030,5,0,0,0,,,,,,,,
11,11030,6,NA,NA,NA,,,,,,,,
11,11030,7,1,1,0,,,,,,,,
11,11030,8,32,21,11,,,,,,,,
11,11030,9,0,0,0,,,,,,,,
11,11031,1,143,117,26,,,,,,,,
11,11031,2,25,20,5,,,,,,,,
11,11031,3,0,0,0,,,,,,,,
11,11031,4,0,0,0,,,,,,,,
11,11031,5,0,0,0,,,,,,,,
11,11031,6,NA,NA,NA,,,,,,,,
11,11031,7,0,0,0,,,,,,,,
11,11031,8,1,1,0,,,,,,,,
11,11031,9,0,0,0,,,,,,,,
11,11032,1,75,64,11,,,,,,,,
11,11032,2,25,15,10,,,,,,,,
11,11032,3,0,0,0,,,,,,,,
11,11032,4,0,0,0,,,,,,,,
11,11032,5,0,0,0,,,,,,,,
11,11032,6,NA,NA,NA,,,,,,,,
11,11032,7,4,3,1,,,,,,,,
11,11032,8,11,2,9,,,,,,,,
11,11032,9,3,1,2,,,,,,,,
11,11033,1,131,80,51,,,,,,,,
11,11033,2,0,0,0,,,,,,,,
11,11033,3,0,0,0,,,,,,,,
11,11033,4,0,0,0,,,,,,,,
11,11033,5,0,0,0,,,,,,,,
11,11033,6,NA,NA,NA,,,,,,,,
11,11033,7,2,2,0,,,,,,,,
11,11033,8,0,0,0,,,,,,,,
11,11033,9,0,0,0,,,,,,,,
11,11034,1,22,16,6,,,,,,,,
11,11034,2,0,0,0,,,,,,,,
11,11034,3,0,0,0,,,,,,,,
11,11034,4,0,0,0,,,,,,,,
11,11034,5,0,0,0,,,,,,,,
11,11034,6,NA,NA,NA,,,,,,,,
11,11034,7,0,0,0,,,,,,,,
11,11034,8,0,0,0,,,,,,,,
11,11034,9,0,0,0,,,,,,,,
11,11035,1,71,58,13,,,,,,,,
11,11035,2,26,26,0,,,,,,,,
11,11035,3,0,0,0,,,,,,,,
11,11035,4,0,0,0,,,,,,,,
11,11035,5,0,0,0,,,,,,,,
11,11035,6,NA,NA,NA,,,,,,,,
11,11035,7,1,1,0,,,,,,,,
11,11035,8,13,5,8,,,,,,,,
11,11035,9,0,0,0,,,,,,,,
11,11036,1,30,25,5,,,,,,,,
11,11036,2,0,0,0,,,,,,,,
11,11036,3,0,0,0,,,,,,,,
11,11036,4,0,0,0,,,,,,,,
11,11036,5,0,0,0,,,,,,,,
11,11036,6,NA,NA,NA,,,,,,,,
11,11036,7,1,1,0,,,,,,,,
11,11036,8,1,1,0,,,,,,,,
11,11036,9,0,0,0,,,,,,,,
11,11037,1,186,133,53,,,,,,,,
11,11037,2,39,33,6,,,,,,,,
11,11037,3,0,0,0,,,,,,,,
11,11037,4,0,0,0,,,,,,,,
11,11037,5,0,0,0,,,,,,,,
11,11037,6,NA,NA,NA,,,,,,,,
11,11037,7,82,73,9,,,,,,,,
11,11037,8,27,13,14,,,,,,,,
11,11037,9,12,4,8,,,,,,,,
11,11038,1,0,0,0,,,,,,,,
11,11038,2,10,9,1,,,,,,,,
11,11038,3,0,0,0,,,,,,,,
11,11038,4,0,0,0,,,,,,,,
11,11038,5,0,0,0,,,,,,,,
11,11038,6,NA,NA,NA,,,,,,,,
11,11038,7,0,0,0,,,,,,,,
11,11038,8,1,0,1,,,,,,,,
11,11038,9,0,0,0,,,,,,,,
11,11039,1,71,56,15,,,,,,,,
11,11039,2,0,0,0,,,,,,,,
11,11039,3,0,0,0,,,,,,,,
11,11039,4,0,0,0,,,,,,,,
11,11039,5,0,0,0,,,,,,,,
11,11039,6,NA,NA,NA,,,,,,,,
11,11039,7,6,6,0,,,,,,,,
11,11039,8,4,2,2,,,,,,,,
11,11039,9,0,0,0,,,,,,,,
11,11040,1,26,22,4,,,,,,,,
11,11040,2,0,0,0,,,,,,,,
11,11040,3,0,0,0,,,,,,,,
11,11040,4,0,0,0,,,,,,,,
11,11040,5,0,0,0,,,,,,,,
11,11040,6,NA,NA,NA,,,,,,,,
11,11040,7,3,3,0,,,,,,,,
11,11040,8,1,0,1,,,,,,,,
11,11040,9,0,0,0,,,,,,,,
11,11041,1,138,107,31,,,,,,,,
11,11041,2,0,0,0,,,,,,,,
11,11041,3,0,0,0,,,,,,,,
11,11041,4,0,0,0,,,,,,,,
11,11041,5,0,0,0,,,,,,,,
11,11041,6,NA,NA,NA,,,,,,,,
11,11041,7,3,2,1,,,,,,,,
11,11041,8,21,11,10,,,,,,,,
11,11041,9,0,0,0,,,,,,,,
11,11042,1,128,105,23,,,,,,,,
11,11042,2,47,45,2,,,,,,,,
11,11042,3,8,6,2,,,,,,,,
11,11042,4,0,0,0,,,,,,,,
11,11042,5,0,0,0,,,,,,,,
11,11042,6,NA,NA,NA,,,,,,,,
11,11042,7,8,4,4,,,,,,,,
11,11042,8,7,1,6,,,,,,,,
11,11042,9,39,33,6,,,,,,,,
11,11043,1,17,14,3,,,,,,,,
11,11043,2,0,0,0,,,,,,,,
11,11043,3,0,0,0,,,,,,,,
11,11043,4,0,0,0,,,,,,,,
11,11043,5,0,0,0,,,,,,,,
11,11043,6,NA,NA,NA,,,,,,,,
11,11043,7,0,0,0,,,,,,,,
11,11043,8,1,0,1,,,,,,,,
11,11043,9,0,0,0,,,,,,,,
11,11044,1,100,77,23,,,,,,,,
11,11044,2,0,0,0,,,,,,,,
11,11044,3,0,0,0,,,,,,,,
11,11044,4,0,0,0,,,,,,,,
11,11044,5,0,0,0,,,,,,,,
11,11044,6,NA,NA,NA,,,,,,,,
11,11044,7,3,3,0,,,,,,,,
11,11044,8,15,6,9,,,,,,,,
11,11044,9,0,0,0,,,,,,,,
11,11045,1,5,3,2,,,,,,,,
11,11045,2,3,1,2,,,,,,,,
11,11045,3,0,0,0,,,,,,,,
11,11045,4,0,0,0,,,,,,,,
11,11045,5,0,0,0,,,,,,,,
11,11045,6,NA,NA,NA,,,,,,,,
11,11045,7,0,0,0,,,,,,,,
11,11045,8,0,0,0,,,,,,,,
11,11045,9,0,0,0,,,,,,,,
11,11046,1,100,74,26,,,,,,,,
11,11046,2,27,24,3,,,,,,,,
11,11046,3,0,0,0,,,,,,,,
11,11046,4,0,0,0,,,,,,,,
11,11046,5,0,0,0,,,,,,,,
11,11046,6,NA,NA,NA,,,,,,,,
11,11046,7,2,2,0,,,,,,,,
11,11046,8,16,7,9,,,,,,,,
11,11046,9,0,0,0,,,,,,,,
12,12001,1,710,547,163,,,,,,,,
12,12001,2,439,392,47,,,,,,,,
12,12001,3,607,575,32,,,,,,,,
12,12001,4,0,0,0,,,,,,,,
12,12001,5,0,0,0,,,,,,,,
12,12001,6,123,87,36,,,,,,,,
12,12001,7,1,1,0,,,,,,,,
12,12001,8,452,199,253,,,,,,,,
12,12001,9,0,0,0,,,,,,,,
12,12002,1,34,33,1,,,,,,,,
12,12002,2,7,7,0,,,,,,,,
12,12002,3,0,0,0,,,,,,,,
12,12002,4,0,0,0,,,,,,,,
12,12002,5,0,0,0,,,,,,,,
12,12002,6,NA,NA,NA,,,,,,,,
12,12002,7,1,1,0,,,,,,,,
12,12002,8,1,0,1,,,,,,,,
12,12002,9,0,0,0,,,,,,,,
12,12003,1,7,6,1,,,,,,,,
12,12003,2,2,2,0,,,,,,,,
12,12003,3,0,0,0,,,,,,,,
12,12003,4,0,0,0,,,,,,,,
12,12003,5,0,0,0,,,,,,,,
12,12003,6,NA,NA,NA,,,,,,,,
12,12003,7,0,0,0,,,,,,,,
12,12003,8,0,0,0,,,,,,,,
12,12003,9,0,0,0,,,,,,,,
12,12004,1,38,38,0,,,,,,,,
12,12004,2,0,0,0,,,,,,,,
12,12004,3,0,0,0,,,,,,,,
12,12004,4,0,0,0,,,,,,,,
12,12004,5,0,0,0,,,,,,,,
12,12004,6,NA,NA,NA,,,,,,,,
12,12004,7,2,2,0,,,,,,,,
12,12004,8,0,0,0,,,,,,,,
12,12004,9,0,0,0,,,,,,,,
12,12005,1,15,15,0,,,,,,,,
12,12005,2,1,1,0,,,,,,,,
12,12005,3,0,0,0,,,,,,,,
12,12005,4,0,0,0,,,,,,,,
12,12005,5,0,0,0,,,,,,,,
12,12005,6,NA,NA,NA,,,,,,,,
12,12005,7,5,5,0,,,,,,,,
12,12005,8,0,0,0,,,,,,,,
12,12005,9,0,0,0,,,,,,,,
12,12006,1,1,1,0,,,,,,,,
12,12006,2,2,2,0,,,,,,,,
12,12006,3,0,0,0,,,,,,,,
12,12006,4,0,0,0,,,,,,,,
12,12006,5,0,0,0,,,,,,,,
12,12006,6,NA,NA,NA,,,,,,,,
12,12006,7,2,2,0,,,,,,,,
12,12006,8,0,0,0,,,,,,,,
12,12006,9,0,0,0,,,,,,,,
12,12007,1,38,37,1,,,,,,,,
12,12007,2,41,37,4,,,,,,,,
12,12007,3,0,0,0,,,,,,,,
12,12007,4,0,0,0,,,,,,,,
12,12007,5,0,0,0,,,,,,,,
12,12007,6,NA,NA,NA,,,,,,,,
12,12007,7,0,0,0,,,,,,,,
12,12007,8,0,0,0,,,,,,,,
12,12007,9,0,0,0,,,,,,,,
12,12008,1,19,18,1,,,,,,,,
12,12008,2,4,4,0,,,,,,,,
12,12008,3,0,0,0,,,,,,,,
12,12008,4,0,0,0,,,,,,,,
12,12008,5,0,0,0,,,,,,,,
12,12008,6,NA,NA,NA,,,,,,,,
12,12008,7,3,3,0,,,,,,,,
12,12008,8,0,0,0,,,,,,,,
12,12008,9,0,0,0,,,,,,,,
12,12009,1,14,14,0,,,,,,,,
12,12009,2,0,0,0,,,,,,,,
12,12009,3,0,0,0,,,,,,,,
12,12009,4,0,0,0,,,,,,,,
12,12009,5,0,0,0,,,,,,,,
12,12009,6,NA,NA,NA,,,,,,,,
12,12009,7,1,1,0,,,,,,,,
12,12009,8,0,0,0,,,,,,,,
12,12009,9,0,0,0,,,,,,,,
12,12010,1,48,43,5,,,,,,,,
12,12010,2,3,2,1,,,,,,,,
12,12010,3,0,0,0,,,,,,,,
12,12010,4,0,0,0,,,,,,,,
12,12010,5,0,0,0,,,,,,,,
12,12010,6,NA,NA,NA,,,,,,,,
12,12010,7,0,0,0,,,,,,,,
12,12010,8,0,0,0,,,,,,,,
12,12010,9,0,0,0,,,,,,,,
12,12011,1,101,92,9,,,,,,,,
12,12011,2,15,11,4,,,,,,,,
12,12011,3,0,0,0,,,,,,,,
12,12011,4,0,0,0,,,,,,,,
12,12011,5,0,0,0,,,,,,,,
12,12011,6,4,2,2,,,,,,,,
12,12011,7,4,4,0,,,,,,,,
12,12011,8,2,2,0,,,,,,,,
12,12011,9,0,0,0,,,,,,,,
12,12012,1,62,62,0,,,,,,,,
12,12012,2,17,17,0,,,,,,,,
12,12012,3,0,0,0,,,,,,,,
12,12012,4,0,0,0,,,,,,,,
12,12012,5,0,0,0,,,,,,,,
12,12012,6,NA,NA,NA,,,,,,,,
12,12012,7,2,2,0,,,,,,,,
12,12012,8,2,0,2,,,,,,,,
12,12012,9,0,0,0,,,,,,,,
12,12013,1,32,32,0,,,,,,,,
12,12013,2,2,1,1,,,,,,,,
12,12013,3,0,0,0,,,,,,,,
12,12013,4,0,0,0,,,,,,,,
12,12013,5,0,0,0,,,,,,,,
12,12013,6,NA,NA,NA,,,,,,,,
12,12013,7,1,1,0,,,,,,,,
12,12013,8,1,0,1,,,,,,,,
12,12013,9,0,0,0,,,,,,,,
12,12014,1,27,27,0,,,,,,,,
12,12014,2,0,0,0,,,,,,,,
12,12014,3,0,0,0,,,,,,,,
12,12014,4,0,0,0,,,,,,,,
12,12014,5,0,0,0,,,,,,,,
12,12014,6,NA,NA,NA,,,,,,,,
12,12014,7,3,3,0,,,,,,,,
12,12014,8,0,0,0,,,,,,,,
12,12014,9,1,1,0,,,,,,,,
12,12015,1,16,14,2,,,,,,,,
12,12015,2,8,8,0,,,,,,,,
12,12015,3,0,0,0,,,,,,,,
12,12015,4,0,0,0,,,,,,,,
12,12015,5,0,0,0,,,,,,,,
12,12015,6,NA,NA,NA,,,,,,,,
12,12015,7,3,2,1,,,,,,,,
12,12015,8,1,0,1,,,,,,,,
12,12015,9,0,0,0,,,,,,,,
12,12016,1,0,0,0,,,,,,,,
12,12016,2,2,2,0,,,,,,,,
12,12016,3,0,0,0,,,,,,,,
12,12016,4,0,0,0,,,,,,,,
12,12016,5,0,0,0,,,,,,,,
12,12016,6,NA,NA,NA,,,,,,,,
12,12016,7,1,1,0,,,,,,,,
12,12016,8,0,0,0,,,,,,,,
12,12016,9,0,0,0,,,,,,,,
12,12017,1,0,0,0,,,,,,,,
12,12017,2,8,5,3,,,,,,,,
12,12017,3,0,0,0,,,,,,,,
12,12017,4,0,0,0,,,,,,,,
12,12017,5,0,0,0,,,,,,,,
12,12017,6,NA,NA,NA,,,,,,,,
12,12017,7,1,1,0,,,,,,,,
12,12017,8,1,0,1,,,,,,,,
12,12017,9,0,0,0,,,,,,,,
12,12018,1,26,26,0,,,,,,,,
12,12018,2,4,0,4,,,,,,,,
12,12018,3,0,0,0,,,,,,,,
12,12018,4,0,0,0,,,,,,,,
12,12018,5,0,0,0,,,,,,,,
12,12018,6,NA,NA,NA,,,,,,,,
12,12018,7,2,2,0,,,,,,,,
12,12018,8,0,0,0,,,,,,,,
12,12018,9,0,0,0,,,,,,,,
12,12019,1,18,17,1,,,,,,,,
12,12019,2,2,2,0,,,,,,,,
12,12019,3,0,0,0,,,,,,,,
12,12019,4,0,0,0,,,,,,,,
12,12019,5,0,0,0,,,,,,,,
12,12019,6,NA,NA,NA,,,,,,,,
12,12019,7,2,2,0,,,,,,,,
12,12019,8,0,0,0,,,,,,,,
12,12019,9,0,0,0,,,,,,,,
12,12020,1,27,27,0,,,,,,,,
12,12020,2,3,2,1,,,,,,,,
12,12020,3,0,0,0,,,,,,,,
12,12020,4,0,0,0,,,,,,,,
12,12020,5,0,0,0,,,,,,,,
12,12020,6,NA,NA,NA,,,,,,,,
12,12020,7,5,5,0,,,,,,,,
12,12020,8,3,2,1,,,,,,,,
12,12020,9,0,0,0,,,,,,,,
12,12021,1,172,156,16,,,,,,,,
12,12021,2,29,23,6,,,,,,,,
12,12021,3,0,0,0,,,,,,,,
12,12021,4,0,0,0,,,,,,,,
12,12021,5,0,0,0,,,,,,,,
12,12021,6,0,0,0,,,,,,,,
12,12021,7,4,4,0,,,,,,,,
12,12021,8,5,3,2,,,,,,,,
12,12021,9,0,0,0,,,,,,,,
12,12022,1,28,22,6,,,,,,,,
12,12022,2,4,4,0,,,,,,,,
12,12022,3,0,0,0,,,,,,,,
12,12022,4,0,0,0,,,,,,,,
12,12022,5,0,0,0,,,,,,,,
12,12022,6,0,0,0,,,,,,,,
12,12022,7,0,0,0,,,,,,,,
12,12022,8,0,0,0,,,,,,,,
12,12022,9,0,0,0,,,,,,,,
12,12023,1,52,47,5,,,,,,,,
12,12023,2,19,14,5,,,,,,,,
12,12023,3,0,0,0,,,,,,,,
12,12023,4,0,0,0,,,,,,,,
12,12023,5,0,0,0,,,,,,,,
12,12023,6,NA,NA,NA,,,,,,,,
12,12023,7,2,2,0,,,,,,,,
12,12023,8,6,2,4,,,,,,,,
12,12023,9,0,0,0,,,,,,,,
12,12024,1,19,17,2,,,,,,,,
12,12024,2,3,3,0,,,,,,,,
12,12024,3,0,0,0,,,,,,,,
12,12024,4,0,0,0,,,,,,,,
12,12024,5,0,0,0,,,,,,,,
12,12024,6,NA,NA,NA,,,,,,,,
12,12024,7,0,0,0,,,,,,,,
12,12024,8,0,0,0,,,,,,,,
12,12024,9,0,0,0,,,,,,,,
12,12025,1,40,40,0,,,,,,,,
12,12025,2,2,2,0,,,,,,,,
12,12025,3,0,0,0,,,,,,,,
12,12025,4,0,0,0,,,,,,,,
12,12025,5,0,0,0,,,,,,,,
12,12025,6,NA,NA,NA,,,,,,,,
12,12025,7,2,2,0,,,,,,,,
12,12025,8,0,0,0,,,,,,,,
12,12025,9,0,0,0,,,,,,,,
12,12026,1,0,0,0,,,,,,,,
12,12026,2,0,0,0,,,,,,,,
12,12026,3,0,0,0,,,,,,,,
12,12026,4,0,0,0,,,,,,,,
12,12026,5,0,0,0,,,,,,,,
12,12026,6,NA,NA,NA,,,,,,,,
12,12026,7,1,0,1,,,,,,,,
12,12026,8,2,2,0,,,,,,,,
12,12026,9,0,0,0,,,,,,,,
12,12027,1,2,2,0,,,,,,,,
12,12027,2,2,2,0,,,,,,,,
12,12027,3,0,0,0,,,,,,,,
12,12027,4,0,0,0,,,,,,,,
12,12027,5,0,0,0,,,,,,,,
12,12027,6,NA,NA,NA,,,,,,,,
12,12027,7,0,0,0,,,,,,,,
12,12027,8,0,0,0,,,,,,,,
12,12027,9,0,0,0,,,,,,,,
12,12028,1,91,66,25,,,,,,,,
12,12028,2,13,9,4,,,,,,,,
12,12028,3,0,0,0,,,,,,,,
12,12028,4,0,0,0,,,,,,,,
12,12028,5,0,0,0,,,,,,,,
12,12028,6,NA,NA,NA,,,,,,,,
12,12028,7,2,2,0,,,,,,,,
12,12028,8,5,2,3,,,,,,,,
12,12028,9,0,0,0,,,,,,,,
12,12029,1,109,69,40,,,,,,,,
12,12029,2,0,0,0,,,,,,,,
12,12029,3,0,0,0,,,,,,,,
12,12029,4,0,0,0,,,,,,,,
12,12029,5,0,0,0,,,,,,,,
12,12029,6,67,64,3,,,,,,,,
12,12029,7,5,5,0,,,,,,,,
12,12029,8,12,10,2,,,,,,,,
12,12029,9,90,45,45,,,,,,,,
12,12030,1,53,52,1,,,,,,,,
12,12030,2,12,12,0,,,,,,,,
12,12030,3,0,0,0,,,,,,,,
12,12030,4,0,0,0,,,,,,,,
12,12030,5,0,0,0,,,,,,,,
12,12030,6,NA,NA,NA,,,,,,,,
12,12030,7,2,2,0,,,,,,,,
12,12030,8,1,0,1,,,,,,,,
12,12030,9,0,0,0,,,,,,,,
12,12031,1,1,1,0,,,,,,,,
12,12031,2,0,0,0,,,,,,,,
12,12031,3,0,0,0,,,,,,,,
12,12031,4,0,0,0,,,,,,,,
12,12031,5,0,0,0,,,,,,,,
12,12031,6,NA,NA,NA,,,,,,,,
12,12031,7,0,0,0,,,,,,,,
12,12031,8,0,0,0,,,,,,,,
12,12031,9,0,0,0,,,,,,,,
12,12032,1,17,15,2,,,,,,,,
12,12032,2,13,13,0,,,,,,,,
12,12032,3,0,0,0,,,,,,,,
12,12032,4,0,0,0,,,,,,,,
12,12032,5,0,0,0,,,,,,,,
12,12032,6,NA,NA,NA,,,,,,,,
12,12032,7,1,1,0,,,,,,,,
12,12032,8,0,0,0,,,,,,,,
12,12032,9,0,0,0,,,,,,,,
12,12033,1,22,22,0,,,,,,,,
12,12033,2,6,5,1,,,,,,,,
12,12033,3,0,0,0,,,,,,,,
12,12033,4,0,0,0,,,,,,,,
12,12033,5,0,0,0,,,,,,,,
12,12033,6,NA,NA,NA,,,,,,,,
12,12033,7,2,2,0,,,,,,,,
12,12033,8,0,0,0,,,,,,,,
12,12033,9,0,0,0,,,,,,,,
12,12034,1,62,59,3,,,,,,,,
12,12034,2,12,12,0,,,,,,,,
12,12034,3,0,0,0,,,,,,,,
12,12034,4,0,0,0,,,,,,,,
12,12034,5,0,0,0,,,,,,,,
12,12034,6,NA,NA,NA,,,,,,,,
12,12034,7,0,0,0,,,,,,,,
12,12034,8,0,0,0,,,,,,,,
12,12034,9,0,0,0,,,,,,,,
12,12035,1,61,42,19,,,,,,,,
12,12035,2,54,49,5,,,,,,,,
12,12035,3,106,104,2,,,,,,,,
12,12035,4,0,0,0,,,,,,,,
12,12035,5,0,0,0,,,,,,,,
12,12035,6,NA,NA,NA,,,,,,,,
12,12035,7,3,3,0,,,,,,,,
12,12035,8,13,8,5,,,,,,,,
12,12035,9,0,0,0,,,,,,,,
12,12036,1,28,23,5,,,,,,,,
12,12036,2,3,3,0,,,,,,,,
12,12036,3,0,0,0,,,,,,,,
12,12036,4,0,0,0,,,,,,,,
12,12036,5,0,0,0,,,,,,,,
12,12036,6,NA,NA,NA,,,,,,,,
12,12036,7,2,2,0,,,,,,,,
12,12036,8,0,0,0,,,,,,,,
12,12036,9,0,0,0,,,,,,,,
12,12037,1,10,8,2,,,,,,,,
12,12037,2,3,3,0,,,,,,,,
12,12037,3,0,0,0,,,,,,,,
12,12037,4,0,0,0,,,,,,,,
12,12037,5,0,0,0,,,,,,,,
12,12037,6,NA,NA,NA,,,,,,,,
12,12037,7,0,0,0,,,,,,,,
12,12037,8,0,0,0,,,,,,,,
12,12037,9,0,0,0,,,,,,,,
12,12038,1,102,93,9,,,,,,,,
12,12038,2,74,62,12,,,,,,,,
12,12038,3,0,0,0,,,,,,,,
12,12038,4,0,0,0,,,,,,,,
12,12038,5,0,0,0,,,,,,,,
12,12038,6,NA,NA,NA,,,,,,,,
12,12038,7,1,1,0,,,,,,,,
12,12038,8,20,10,10,,,,,,,,
12,12038,9,12,2,10,,,,,,,,
12,12039,1,44,42,2,,,,,,,,
12,12039,2,10,9,1,,,,,,,,
12,12039,3,0,0,0,,,,,,,,
12,12039,4,0,0,0,,,,,,,,
12,12039,5,0,0,0,,,,,,,,
12,12039,6,NA,NA,NA,,,,,,,,
