cve,ubicageo_c,orgapoli_e,sexostt,sexos1,sexos2,,,,orgapoli_e,(Varios elementos),,,
2,2005,2,25,25,0,,,,,,,,
2,2005,3,92,81,11,,,,,,,,
2,2005,4,0,0,0,,,,,,,,
2,2005,5,0,0,0,,,,,,,,
2,2005,6,NA,NA,NA,,,,,,,,
2,2005,7,0,0,0,,,,,,,,
2,2005,8,0,0,0,,,,,,,,
2,2005,9,0,0,0,,,,,,,,
2,2006,1,0,0,0,,,,,,,,
2,2006,2,0,0,0,,,,,,,,
2,2006,3,0,0,0,,,,,,,,
2,2006,4,0,0,0,,,,,,,,
2,2006,5,0,0,0,,,,,,,,
2,2006,6,NA,NA,NA,,,,,,,,
2,2006,7,0,0,0,,,,,,,,
2,2006,8,0,0,0,,,,,,,,
2,2006,9,0,0,0,,,,,,,,
3,3001,1,138,111,27,,,,,,,,
3,3001,2,39,30,9,,,,,,,,
3,3001,3,0,0,0,,,,,,,,
3,3001,4,0,0,0,,,,,,,,
3,3001,5,0,0,0,,,,,,,,
3,3001,6,NA,NA,NA,,,,,,,,
3,3001,7,24,16,8,,,,,,,,
3,3001,8,36,20,16,,,,,,,,
3,3001,9,0,0,0,,,,,,,,
3,3002,1,134,103,31,,,,,,,,
3,3002,2,0,0,0,,,,,,,,
3,3002,3,50,37,13,,,,,,,,
3,3002,4,0,0,0,,,,,,,,
3,3002,5,0,0,0,,,,,,,,
3,3002,6,NA,NA,NA,,,,,,,,
3,3002,7,2,2,0,,,,,,,,
3,3002,8,5,1,4,,,,,,,,
3,3002,9,0,0,0,,,,,,,,
3,3003,1,736,555,181,,,,,,,,
3,3003,2,0,0,0,,,,,,,,
3,3003,3,149,120,29,,,,,,,,
3,3003,4,0,0,0,,,,,,,,
3,3003,5,0,0,0,,,,,,,,
3,3003,6,NA,NA,NA,,,,,,,,
3,3003,7,1,1,0,,,,,,,,
3,3003,8,80,28,52,,,,,,,,
3,3003,9,0,0,0,,,,,,,,
3,3008,1,396,317,79,,,,,,,,
3,3008,2,118,79,39,,,,,,,,
3,3008,3,0,0,0,,,,,,,,
3,3008,4,0,0,0,,,,,,,,
3,3008,5,0,0,0,,,,,,,,
3,3008,6,NA,NA,NA,,,,,,,,
3,3008,7,1,1,0,,,,,,,,
3,3008,8,0,0,0,,,,,,,,
3,3008,9,0,0,0,,,,,,,,
3,3009,1,77,59,18,,,,,,,,
3,3009,2,0,0,0,,,,,,,,
3,3009,3,0,0,0,,,,,,,,
3,3009,4,0,0,0,,,,,,,,
3,3009,5,0,0,0,,,,,,,,
3,3009,6,NA,NA,NA,,,,,,,,
3,3009,7,15,14,1,,,,,,,,
3,3009,8,8,2,6,,,,,,,,
3,3009,9,0,0,0,,,,,,,,
4,4001,1,0,0,0,,,,,,,,
4,4001,2,0,0,0,,,,,,,,
4,4001,3,0,0,0,,,,,,,,
4,4001,4,0,0,0,,,,,,,,
4,4001,5,48,48,0,,,,,,,,
4,4001,6,NA,NA,NA,,,,,,,,
4,4001,7,0,0,0,,,,,,,,
4,4001,8,3,0,3,,,,,,,,
4,4001,9,0,0,0,,,,,,,,
4,4002,1,0,0,0,,,,,,,,
4,4002,2,0,0,0,,,,,,,,
4,4002,3,0,0,0,,,,,,,,
4,4002,4,0,0,0,,,,,,,,
4,4002,5,0,0,0,,,,,,,,
4,4002,6,NA,NA,NA,,,,,,,,
4,4002,7,0,0,0,,,,,,,,
4,4002,8,0,0,0,,,,,,,,
4,4002,9,0,0,0,,,,,,,,
4,4003,1,193,170,23,,,,,,,,
4,4003,2,22,21,1,,,,,,,,
4,4003,3,0,0,0,,,,,,,,
4,4003,4,0,0,0,,,,,,,,
4,4003,5,0,0,0,,,,,,,,
4,4003,6,NA,NA,NA,,,,,,,,
4,4003,7,0,0,0,,,,,,,,
4,4003,8,0,0,0,,,,,,,,
4,4003,9,0,0,0,,,,,,,,
4,4004,1,0,0,0,,,,,,,,
4,4004,2,80,80,0,,,,,,,,
4,4004,3,0,0,0,,,,,,,,
4,4004,4,0,0,0,,,,,,,,
4,4004,5,0,0,0,,,,,,,,
4,4004,6,NA,NA,NA,,,,,,,,
4,4004,7,0,0,0,,,,,,,,
4,4004,8,3,0,3,,,,,,,,
4,4004,9,0,0,0,,,,,,,,
4,4005,1,64,61,3,,,,,,,,
4,4005,2,0,0,0,,,,,,,,
4,4005,3,0,0,0,,,,,,,,
4,4005,4,0,0,0,,,,,,,,
4,4005,5,0,0,0,,,,,,,,
4,4005,6,NA,NA,NA,,,,,,,,
4,4005,7,0,0,0,,,,,,,,
4,4005,8,0,0,0,,,,,,,,
4,4005,9,0,0,0,,,,,,,,
4,4006,1,41,41,0,,,,,,,,
4,4006,2,0,0,0,,,,,,,,
4,4006,3,0,0,0,,,,,,,,
4,4006,4,0,0,0,,,,,,,,
4,4006,5,0,0,0,,,,,,,,
4,4006,6,NA,NA,NA,,,,,,,,
4,4006,7,0,0,0,,,,,,,,
